id,contents,key word
Ceferino, 你自己說疫苗開發緊急授權可以撈，那台灣劇本很清楚了結論還下要買外國疫苗？,BioNTech
chiaofan, 推,BioNTech
CYL009, 所以你是要三小掛?,BioNTech
chiaofan, 德裔土耳其人,BioNTech
mikemagic88, 讚 留言 分享,BioNTech
Hecarim, 開始造神了,BioNTech
farnorth, 土耳其人都長得很好看,BioNTech
dbdudsorj, 八卦現在倒退成這樣？？,BioNTech
AustinRivers, 不像台灣人  太笨了  不會炒房炒股nan,BioNTech
HyperPoro, 跟天下那種造神雜誌文章差不多,BioNTech
farnorth, 結婚當天都還到實驗室工作，好認真,BioNTech
potionx, 看成圖勒  想說明明有圖啊,BioNTech
Jeff911, 我以為要做成台灣啟示錄了,BioNTech
wfsh30918, BBC跟做出最強疫苗的人都可以嫌,BioNTech
xiemark, 有沒有台灣高端疫苗創始人的故事？,BioNTech
wfsh30918, 有啊.跌停19根外國哪比得上臺灣,BioNTech
koyo167, 還好德國沒有蔡英文  不然鐵定完蛋,BioNTech
ssdle, 我乍看以為是豆豆先生研發的,BioNTech
bluebluelan, 別人想被你買了媽,BioNTech
jwph, 新加坡表示,BioNTech
lesnaree2, 輪得到你,BioNTech
dtes50608100, 怎麼不乾脆買下美國,BioNTech
nowitzki0207, 買下共產黨好了,BioNTech
loserloser, 買這種公司光是審就不知道審多久= =,BioNTech
t0kyohot, 中國直接把台積電買下來也能解決晶片問,BioNTech
TISH12311, 買下DPP應該比較便宜,BioNTech
HarryHTC, 買下退步擋比較便宜~~,BioNTech
icome, 美國政府會介入,BioNTech
Mazda6680, 你這個邏輯直接去劫機疫苗不是更快,BioNTech
woulin, 以前紫光集團高喊要併購台積電,BioNTech
traman, 郭董又不是布魯斯韋恩,BioNTech
Daz2005i, 好聰明喔 中共怎麼不把台積電買下來,BioNTech
ccyaztfe, 你以為買的下來？,BioNTech
svd237, 蘭德爾？,BioNTech
william0916, 你要不要直接買火箭 飛去火星,BioNTech
ivanos, 別忘了BNT其中一個大股東是中國復星,BioNTech
supisces, 人家去年有來問要不要投資，中央不肯。,BioNTech
leecliff, 真的在買菜了,BioNTech
Yahweh, BNT 現在市值 490億美金 買吧你就去公開市場瘋狂買進他的股票,BioNTech
ouabain, 跟小粉紅一樣有得天獨厚的智慧,BioNTech
lain2002, 郭董的錢不夠,BioNTech
cltang, 不如跟復星談把台灣區代理權買回較可能?,BioNTech
tropotato, 厲害了我的黨,BioNTech
jimrex12025, 少了最後一句 要看抹黑的是誰,BioNTech
NaaL, 之前那些抹黑的，還說別人又蠢又壞的，現在還是裝沒事啊……,BioNTech
iyok, 抹黑台灣防疫人員小粉紅最會,BioNTech
x7834210, https//i.imgur.com/ePu4ceg.jpg,BioNTech
wayc, 媽的連300萬都雙標,BioNTech
iamtendollar,  https//i.imgur.com/pVeApbr.jpg,BioNTech
sincsnow, 別怪他們了，他們的腦子是綠色的跟一般正常人的腦子不一樣,BioNTech
show282, 智缺到我以為台灣最近在傳染腦炎病毒,BioNTech
KiroKu, google一堆國外新聞在介紹疫苗,BioNTech
chosenone, 其實人家根本沒在理台灣這群瘋子。,BioNTech
gameguy, 送件啊，復興搞什？,BioNTech
Dia149, 淡水他是上海的啊不然為什麼不能直接跟原廠買啊,BioNTech
mile45678, 沒差 政府疫苗夠多 不差BNT,BioNTech
ccachen, 再抹黑BNT 小心輝瑞把藍色小丸斷貨不賣台灣XD,BioNTech
Mytsb2421, 民進黨一堆造謠的立委，先罰300萬啦,BioNTech
iamtendollar,  https//i.imgur.com/Ko2rZ95.jpg,BioNTech
pounil, 資進黨只會操弄反中 其他沒料,BioNTech
knives, 又變成是歐盟的鍋了,BioNTech
show282, 價錢是莫德納一半，當然被訂爆,BioNTech
AlHorford15, 所以你打哪隻 大陸同胞==？,BioNTech
likeilike, 你編劇喔,BioNTech
tiawiare, 你是不是不信黨,BioNTech
su4vu6, 好糟糕喔 簽約後沒貨,BioNTech
sted0101, 苦無,BioNTech
iamtendollar, 政府自己選擇不投資 投資者優先分配很正常,BioNTech
gn1384181, 假新聞謠言都是綠畜蟑螂網軍自產自銷的,BioNTech
farseer7, 作業自己做,BioNTech
douge, 你檢舉有屁用 叫他們造謠的層級更高,BioNTech
philip2364, 黨只會懲罰人民，不會抓自己人，懂？,BioNTech
douge, 立委跟官員都加入造謠了 你覺得 誰指使的?,BioNTech
ImBBCALL, 林穎孟死抓著契約書上有同意中國分裝,BioNTech
radi035, 你敢檢舉小心自己被約談...勇者保重,BioNTech
ImBBCALL, 結果中國工廠還沒蓋也死不認,BioNTech
Superxixai, 大蟑螂假面甜心背骨仔林穎孟啊,BioNTech
omanorboyo, 造謠層級到執政黨立委 誰敢罰?,BioNTech
douge, 疾管家對於連日BNT造謠一個澄清都沒有今天還有莫德那沒三級就使用的新聞,BioNTech
kutkin, https//i.imgur.com/3OfBnID.jpg,BioNTech
aGooDie, 不好意思，只有“熱心民眾”檢舉才有效歐。,BioNTech
kutkin, 你去問4.1祥祥為什麼這樣說他為什麼會說復星是中國製那些立委得到的資訊都從這篇開始的,BioNTech
netboy789, 無聊，郭董都買不到，知道那麼多幹嘛造謠國外的事務，要找原廠來,BioNTech
ai2311, 王定宇,BioNTech
kutkin, 所以不論祥祥是不清楚還是刻意他4.1那樣說都讓人誤會,BioNTech
fix78, 他們沒差啊，300萬罰了也是回自己口袋,BioNTech
tomjanyan, 就說民進黨就是詐騙集團,BioNTech
iamtendollar,  https//i.imgur.com/jA6Menh.jpg,BioNTech
cmq29, 去板橋版 你就可以抓到好多隻 都已是重災了,BioNTech
nakayamayyt, 一大堆 三粒主持人照樣說復必泰疫苗,BioNTech
PeterHenson, 丟臉丟到國外去了,BioNTech
douge, 政府官員 立法委員帶頭造謠 不用罰的,BioNTech
svd237, 「先申請再說好嗎」,BioNTech
kevin0733, 散布假消息的立委議員 什麼時候要罰,BioNTech
snchou, 這個才是要澄清的，即使不想買,BioNTech
holyhelm, 德國人應該會覺得遠方島國很智障,BioNTech
gay7788, 最後一段有味道,BioNTech
ComeThrough, 罰300萬啦 不敢罰我一輩子瞧不起dpp,BioNTech
O928, 快點把造謠仔都抓起來罰款，尤其是南投那個,BioNTech
Ahhhhaaaa, 那些造謠是中國製的 有種就不要打,BioNTech
douge, 疾管家更是一個澄清消息都沒有,BioNTech
holyhelm, 都講過幾次了  不爽不要買,BioNTech
frank00427, 之前造謠的要不要通通抓出來罰300萬？,BioNTech
RRADA, 中國製的，不是會讓藍腦更想打嗎?,BioNTech
kutkin, https//i.imgur.com/uOU8NLT.jpg,BioNTech
waijr, 綠營民代造謠 一人三百萬 尤其王胖子,BioNTech
zong780405, 造謠的人 不罰300萬了嗎？ 無能無恥,BioNTech
YLTYY, 可憐哪,BioNTech
zong780405, 民進黨,BioNTech
A80211ab, BNT應該覺得台灣很煩,BioNTech
LevisVintage, 德國都澄清了 到底是誰說是中國製,BioNTech
waijr, 自己造謠還恐嚇網友 垃圾一個,BioNTech
ak5618, 德國製有比較厲害嗎？真以為BNT沒副作用,BioNTech
a5413eric, 300w,BioNTech
douge, 丟臉丟到國際  從沒看到有人從政不要臉,BioNTech
gooding, 300萬快罰,BioNTech
ak5618, ？要打BNT這種醫療廢棄物不如在家睡覺,BioNTech
douge, 成這樣,BioNTech
AustinRivers, 真的超無言,BioNTech
sobiNOva, 綠畜造謠成性 到底他媽的要不要抓,BioNTech
a5413eric, 挺綠的真的感到丟臉 好羞恥,BioNTech
danic, 去你媽的民進黨 整天在騙 愛你媽死全家,BioNTech
JT0624, 只有智障才會相信民進黨造謠,BioNTech
Superxixai, 林穎孟造謠仔出來啊,BioNTech
hydra6716, 阿深圳就還沒有廠 最快也要7月,BioNTech
joanne0532, 他們會不會覺得很煩啊，國家內互鬥搞,BioNTech
qwe30812, 德國製沒比較厲害 但是覺得屌打國產,BioNTech
brume1026, 綠共還是看不懂啦,BioNTech
hydra6716, 這全世界都知道 就他媽綠共側翼不知道,BioNTech
realmd, 重點，中國2021會有 1億劑,BioNTech
ballby, 反正這樣搞 全世界都知道你蔡政府的惡名,BioNTech
TINBING, 最後一段是指歐盟打壓嗎??哈哈哈~,BioNTech
mysterydream, 難怪輝瑞連鳥都不鳥你 狂抹黑,BioNTech
johnhmj, 記者親自詢問的答案「德國製造」,BioNTech
coeXist, 這次再不罰300萬 那DPP每天講的都變兒戲,BioNTech
dkfs789, 要出征BNT了嗎,BioNTech
tzcoba01, 再次丟臉國際 幹,BioNTech
itachi0609, 丟臉死了,BioNTech
tmacor1, 丟臉,BioNTech
Padfoneman, 要不要抓喇 拜託只抓異己是老KMT喔?,BioNTech
t7556281, 綠共民代別在丟臉了整天做些偷雞摸狗之,BioNTech
nutrino, 人不要臉天下無敵,BioNTech
Mraofrot, 官員帶頭造謠是三小,BioNTech
LABOYS, 罰責都說說而已，政府官員，民意代表公然,BioNTech
rq654, 最後一段 好像懂了什麼,BioNTech
baiya, 這就會澄清 對時中講的 不回應 哈,BioNTech
